game_num,away_team,home_team,away_score,home_score
372,OKC,OAK,1,2
373,NYC,WAS,0,2
374,BKN,PIT,2,5
375,CLE,BOS,2,3
376,PHI,DET,1,2
377,HOU,CHR,2,4
378,LAP,SDT,6,2
379,KCM,SFN,2,5
380,OKC,OAK,2,5
381,CLE,WAS,4,1
382,BOS,NYC,1,4
383,PHI,PIT,2,0
384,DET,BKN,2,5
385,KCM,CHR,0,5
386,SFN,HOU,6,3
387,OKC,SDT,2,3
388,OAK,LAP,3,4
389,CLE,WAS,1,5
390,BOS,NYC,6,5
391,PHI,PIT,5,3
392,DET,BKN,7,3
393,KCM,CHR,5,4
394,SFN,HOU,3,1
395,OKC,SDT,0,3
396,OAK,LAP,4,0
397,CLE,WAS,3,1
398,BOS,NYC,3,2
399,PHI,PIT,4,5
400,DET,BKN,5,2
401,KCM,CHR,0,5
402,SFN,HOU,5,0
403,OKC,SDT,0,4
404,OAK,LAP,9,3
405,CLE,WAS,4,3
406,BOS,NYC,3,4
407,PHI,PIT,7,3
408,DET,BKN,2,5
409,KCM,CHR,1,3
410,SFN,HOU,2,4
411,OKC,SDT,2,4
412,OAK,LAP,4,2
413,LAP,WAS,1,5
414,KCM,PIT,0,3
415,OKC,BOS,3,4
416,HOU,DET,1,2
417,CHR,PHI,3,2
418,LAP,WAS,7,1
419,SDT,NYC,6,1
420,KCM,PIT,0,4
421,SFN,BKN,1,8
422,OKC,BOS,3,4
423,OAK,CLE,2,1
424,HOU,DET,1,4
425,CHR,PHI,2,7
426,LAP,WAS,1,3
427,SDT,NYC,5,1
428,KCM,PIT,0,8
429,SFN,BKN,7,4
430,OKC,BOS,2,1
431,OAK,CLE,1,4
432,HOU,DET,1,5
433,CHR,PHI,3,4
434,SDT,NYC,1,2
435,SFN,BKN,5,1
436,OAK,CLE,0,4
437,SDT,WAS,2,5
438,LAP,NYC,0,2
439,SFN,PIT,4,1
440,KCM,BKN,1,2
441,OAK,BOS,0,4
442,OKC,CLE,2,5
443,CHR,DET,3,2
444,HOU,PHI,2,0
445,SDT,WAS,1,5
446,LAP,NYC,0,3
447,SFN,PIT,0,7
448,KCM,BKN,0,5
449,OAK,BOS,1,2
450,OKC,CLE,7,1
451,CHR,DET,5,0
452,HOU,PHI,4,1
453,SDT,WAS,0,5
454,LAP,NYC,3,4
455,SFN,PIT,1,2
